Names,Formula,CAS No,SMILES,Reference,Exp logp,C,H,N,O,S,P,F,Cl,Br,I,,,
"3,4-dichlorobenzoic acid",C7H4Cl2O2,000051-44-5,OC(=O)c1ccc(Cl)c(Cl)c1,"da,yz et al. (1992) ",3.25,7,4,0,2,0,0,0,2,0,0,,11,
2-(3h-imidazol-4-yl)ethanamine,C5H9N3,000051-45-6,NCCc1[nH]cnc1,sangster (1993) ,-0.7,5,9,3,0,0,0,0,0,0,0,,8,
(8-methyl-8-azabicyclo[3.2.1]octan-3-yl) 3-hydroxy-2-phenylpropanoate,C17H23N1O3,000051-55-8,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,"hansch,c et al. (1995) ",1.83,17,23,1,3,0,0,0,0,0,0,,21,
"4-(2-aminoethyl)benzene-1,2-diol",C8H11N1O2,000051-61-6,NCCc1ccc(O)c(O)c1,"hansch,c et al. (1995) ",-0.98,8,11,1,2,0,0,0,0,0,0,,11,
1-phenylpropan-2-amine,C9H13N1,000300-62-9,CC(N)Cc1ccccc1,"hansch,c et al. (1995) ",1.76,9,13,1,0,0,0,0,0,0,0,,10,
n-(4-methoxyphenyl)acetamide,C9H11N1O2,000051-66-1,COc1ccc(NC(C)=O)cc1,"hansch,c et al. (1995) ",1.03,9,11,1,2,0,0,0,0,0,0,,12,
mechlorethamine,C5H11Cl2N1,000051-75-2,CN(CCCl)CCCl,"selassie,cd et al. (1990) ",0.91,5,11,1,0,0,0,0,2,0,0,,8,
ethyl carbamate,C3H7N1O2,000051-79-6,CCOC(N)=O,"hansch,c et al. (1995) ",-0.15,3,7,1,2,0,0,0,0,0,0,,6,
"s-(10,13-dimethyl-3,5'-dioxospiro[2,6,7,8,9,11,12,14,15,16-decahydro-1h-cyclopenta[a]phenanthrene-17,2'-oxolane]-7-yl) ethanethioate",C24H32O4S1,033784-05-3,CC(=O)SC1CC2=CC(=O)CCC2(C)C3CCC4(C)C(CCC45CCC(=O)O5)C13,"hansch,c & leo,aj (1985) ",2.26,24,32,0,4,1,0,0,0,0,0,,29,
"[2-(11,17-dihydroxy-10,13-dimethyl-3-oxo-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthren-17-yl)-2-oxoethyl] acetate",C23H30O6,000052-21-1,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,"hansch,c et al. (1995) ",2.4,23,30,0,6,0,0,0,0,0,0,,29,
tris(aziridin-1-yl)-sulfanylidenephosphorane,C6H12N3P1S1,000052-24-4,S=[P](N1CC1)(N2CC2)N3CC3,"hansch,c et al. (1995) ",0.53,6,12,3,0,1,1,0,0,0,0,,11,
oprea1_828621,C18H22N1O3,000076-57-3,COc1ccc2CC3C4C=CC(O)C5Oc1c2C45CCN3C,"avdeef,a et al. (1996) ",1.19,18,22,1,3,0,0,0,0,0,0,,22,
"5-(1-cyclohexenyl)-5-ethyl-1,3-diazinane-2,4,6-trione",C12H16N2O3,000052-31-3,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,"hansch,c et al. (1995) ",1.77,12,16,2,3,0,0,0,0,0,0,,17,
"5,5-di(prop-2-enyl)-1,3-diazinane-2,4,6-trione",C10H12N2O3,000052-43-7,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,"hansch,c et al. (1995) ",1.15,10,12,2,3,0,0,0,0,0,0,,15,
"8,10-diazaspiro[5.5]undecane-7,9,11-trione",C9H12N2O3,000052-44-8,O=C1NC(=O)C2(CCCCC2)C(=O)N1,"prankerd,rj & mckeown,rh (1992) ",0.91,9,12,2,3,0,0,0,0,0,0,,14,
"9-sulfanylidene-8,10-diazaspiro[5.5]undecane-7,11-dione",C9H12N2O2S1,000052-45-9,O=C1NC(=S)NC(=O)C12CCCCC2,"prankerd,rj & mckeown,rh (1992) ",1.78,9,12,2,2,1,0,0,0,0,0,,14,
1-aminocyclopentane-1-carboxylic acid,C6H11N1O2,000052-52-8,NC1(CCCC1)C(O)=O,"tsai,rs et al. (1991) ",-2.28,6,11,1,2,0,0,0,0,0,0,,9,
"2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile",C27H38N2O4,000052-53-9,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,"hansch,c et al. (1995) ",3.79,27,38,2,4,0,0,0,0,0,0,,33,
2-amino-3-methyl-3-sulfanylbutanoic acid,C5H11N1O2S1,000052-67-5,CC(C)(S)C(N)C(O)=O,"hansch,c et al. (1995) ",-1.78,5,11,1,2,1,0,0,0,0,0,,9,
trichlorfon,C4H8Cl3O4P1,000052-68-6,CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,"hansch,c et al. (1995) ",0.51,4,8,0,4,0,1,0,3,0,0,,12,
"4-dimethoxyphosphinothioyloxy-n,n-dimethylbenzenesulfonamide",C10H16N1O5P1S2,000052-85-7,CO[P](=S)(OC)Oc1ccc(cc1)[S](=O)(=O)N(C)C,"hansch,c et al. (1995) ",2.23,10,16,1,5,2,1,0,0,0,0,,19,
haloperidol,C21H23Cl1F1N1O2,000052-86-8,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,"el tayar,n et al. (1985) ",4.3,21,23,1,2,0,0,1,1,0,0,,26,
2-amino-3-sulfanylpropanoic acid,C3H7N1O2S1,000052-90-4,NC(CS)C(O)=O,"hansch,c et al. (1995) ",-2.49,3,7,1,2,1,0,0,0,0,0,,7,
"17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione",C21H26O5,000053-03-2,CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,"hansch,c et al. (1995) ",1.46,21,26,0,5,0,0,0,0,0,0,,26,
"17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,12,14,15,16-decahydrocyclopenta[a]phenanthrene-3,11-dione",C21H28O5,000053-06-5,CC12CCC(=O)C=C1CCC3C4CCC(O)(C(=O)CO)C4(C)CC(=O)C23,"hansch,c et al. (1995) ",1.47,21,28,0,5,0,0,0,0,0,0,,26,
"3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthren-17-one",C18H22O2,000053-16-7,CC12CCC3C(CCc4cc(O)ccc34)C1CCC2=O,"hansch,c et al. (1995) ",3.13,18,22,0,2,0,0,0,0,0,0,,20,
"3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one",C19H30O2,000053-41-8,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,"hansch,c et al. (1995) ",3.69,19,30,0,2,0,0,0,0,0,0,,21,
"3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one",C19H28O2,000053-43-0,CC12CCC3C(CC=C4CC(O)CCC34C)C1CCC2=O,"hansch,c et al. (1995) ",3.23,19,28,0,2,0,0,0,0,0,0,,21,
"n,n-dimethyl-3-phenothiazin-10-ylpropan-1-amine",C17H20N2S1,000058-40-2,CN(C)CCCN1c2ccccc2Sc3ccccc13,"hansch,c et al. (1995) ",4.55,17,20,2,0,1,0,0,0,0,0,,20,
"naphtho[1,2-b]phenanthrene",C22H14,000224-41-9,c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23,"helweg,c et al. (1997a) ",6.54,22,14,0,0,0,0,0,0,0,0,,22,
2-amino-n-[5-(6-dimethylaminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl]-3-(4-methoxyphenyl)propanamide,C22H29N7O5,000053-79-2,COc1ccc(CC(N)C(=O)NC2C(O)C(OC2CO)n3cnc4c(ncnc34)N(C)C)cc1,"hansch,c et al. (1995) ",0.03,22,29,7,5,0,0,0,0,0,0,,34,
indomethacin,C19H16Cl1N1O4,000053-86-1,COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3,"hansch,c et al. (1995) ",4.27,19,16,1,4,0,0,0,1,0,0,,25,
"2-(3,4,5-trimethoxyphenyl)ethanamine",C11H17N1O3,000054-04-6,COc1cc(CCN)cc(OC)c1OC,"hansch,c et al. (1995) ",0.78,11,17,1,3,0,0,0,0,0,0,,15,
chloroquine,C18H26Cl1N3,000054-05-7,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,"hansch,c et al. (1995) ",4.63,18,26,3,0,0,0,0,1,0,0,,22,
3-(1-methylpyrrolidin-2-yl)pyridine,C10H14N2,000054-11-5,CN1CCCC1c2cccnc2,"hansch,c et al. (1995) ",1.17,10,14,2,0,0,0,0,0,0,0,,12,
2-amino-3-(1h-indol-3-yl)propanoic acid,C11H12N2O2,000073-22-3,NC(Cc1c[nH]c2ccccc12)C(O)=O,"hansch,c et al. (1995) ",-1.06,11,12,2,2,0,0,0,0,0,0,,15,
2-hydroxybenzoic acid,C7H6O3,000069-72-7,OC(=O)c1ccccc1O,"hansch,c et al. (1995) ",2.26,7,6,0,3,0,0,0,0,0,0,,10,
"2-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,4-triazine-3,5-dione",C8H11N3O6,000054-25-1,OCC1OC(C(O)C1O)N2N=CC(=O)NC2=O,"hansch,c et al. (1995) ",-2.14,8,11,3,6,0,0,0,0,0,0,,17,
furosemide,C12H11Cl1N2O5S1,000054-31-9,N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl,sangster (1993) ,2.03,12,11,2,5,1,0,0,1,0,0,,21,
[4-(2-dimethylaminoethoxy)-2-methyl-5-propan-2-ylphenyl] acetate,C16H25N1O3,000054-32-0,CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C,"dallet,p et al. (1985) ",3.17,16,25,1,3,0,0,0,0,0,0,,20,
"1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-iodopyrimidine-2,4-dione",C9H11I1N2O5,000054-42-2,OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,"narurkar,mm & mitra,ak (1988) ",-0.96,9,11,2,5,0,0,0,0,0,1,,17,
3-(2-amino-1-hydroxypropyl)phenol,C9H13N1O2,000054-49-9,CC(N)C(O)c1cccc(O)c1,"hansch,c et al. (1995); ion-corrected ",-0.27,9,13,1,2,0,0,0,0,0,0,,12,
1-naphthalen-2-yl-2-(propan-2-ylamino)ethanol,C15H19N1O1,000054-80-8,CC(C)NCC(O)c1ccc2ccccc2c1,sangster (1993) ,3,15,19,1,1,0,0,0,0,0,0,,17,
pyridine-4-carbohydrazide,C6H7N3O1,000054-85-3,NNC(=O)c1ccncc1,"hansch,c et al. (1995) ",-0.7,6,7,3,1,0,0,0,0,0,0,,10,
3-bromo-1-[4-(3-bromopropanoyl)piperazin-1-yl]propan-1-one,C10H16Br2N2O2,000054-91-1,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,"hansch,c et al. (1995) ",0.42,10,16,2,2,0,0,0,0,2,0,,16,
n'-propan-2-ylpyridine-4-carbohydrazide,C9H13N3O1,000054-92-2,CC(C)NNC(=O)c1ccncc1,"hansch,c et al. (1995) ",0.37,9,13,3,1,0,0,0,0,0,0,,13,
"6,7,8,9-tetrahydro-5h-tetrazolo[1,5-a]azepine",C6H10N4,000054-95-5,C1CCn2nnnc2CC1,"hansch,c et al. (1995) ",0.14,6,10,4,0,0,0,0,0,0,0,,10,
"n,n-diethylnitrous amide",C4H10N2O1,000055-18-5,CCN(CC)N=O,"hansch,c et al. (1995) ",0.48,4,10,2,1,0,0,0,0,0,0,,7,
benzamide,C7H7N1O1,000055-21-0,NC(=O)c1ccccc1,"hansch,c et al. (1995) ",0.64,7,7,1,1,0,0,0,0,0,0,,9,
pyridine-4-carboxylic acid,C6H5N1O2,000055-22-1,OC(=O)c1ccncc1,"hansch,c et al. (1995) ",0.32,6,5,1,2,0,0,0,0,0,0,,9,
